Date capfloor.ee capfloor.pfe norisk.ee norisk.pfe cva.ee cva.pfe
0 6.35635 6.35635 6.49495 6.49495 0.138596 0.138596 
0.05 6.94038 15.0875 7.09171 15.4165 0.15133 0.328973 
0.1 7.59323 19.0138 7.7588 19.4284 0.165565 0.414584 
0.15 8.2046 21.6963 8.3835 22.1693 0.178896 0.473072 
0.2 8.71714 23.1805 8.90721 23.686 0.190071 0.505436 
0.25 9.55786 25.3845 9.76627 25.938 0.208403 0.553492 
0.3 10.1221 27.0312 10.3428 27.6206 0.220706 0.589396 
0.35 10.5821 28.0007 10.8128 28.6112 0.230736 0.610535 
0.4 10.9812 29.8976 11.2207 30.5494 0.239439 0.651896 
0.45 11.3061 30.9089 11.5527 31.5829 0.246523 0.673948 
0.5 11.6016 32.9054 11.8546 33.6228 0.252965 0.717479 
0.55 11.9343 34.019 12.1945 34.7608 0.26022 0.741761 
0.6 12.2983 34.3028 12.5664 35.0507 0.268155 0.747949 
0.65 12.6893 35.9222 12.966 36.7055 0.276681 0.783259 
0.7 13.0051 37.8407 13.2886 38.6658 0.283566 0.825091 
0.75 13.3358 39.607 13.6266 40.4706 0.290779 0.863603 
0.8 13.7532 40.3988 14.0531 41.2796 0.29988 0.880867 
0.85 14.2196 41.1604 14.5297 42.0579 0.310049 0.897475 
0.9 14.6771 41.734 14.9971 42.644 0.320024 0.909982 
0.95 14.9978 43.68 15.3248 44.6325 0.327016 0.952413 
1 15.4377 44.4714 15.7743 45.441 0.336608 0.969668 
1.05 15.6742 43.967 16.016 44.9256 0.341766 0.958669 
1.1 15.642 44.6104 15.983 45.5831 0.341062 0.972699 
1.15 15.9091 44.8345 16.256 45.8121 0.346888 0.977586 
1.2 16.0096 44.7459 16.3587 45.7216 0.349079 0.975654 
1.25 15.9051 44.6159 16.2519 45.5888 0.3468 0.97282 
1.3 16.1295 45.0899 16.4812 46.0731 0.351694 0.983155 
1.35 16.0732 44.542 16.4236 45.5132 0.350464 0.971209 
1.4 15.9949 44.0621 16.3437 45.0229 0.348758 0.960744 
1.45 16.0076 44.2191 16.3566 45.1833 0.349035 0.964168 
1.5 16.0869 45.5184 16.4377 46.5109 0.350764 0.992498 
1.55 16.2455 45.1838 16.5997 46.169 0.354221 0.985201 
1.6 16.3806 45.6814 16.7377 46.6775 0.357167 0.996052 
1.65 16.573 45.5997 16.9343 46.594 0.361362 0.994271 
1.7 16.4937 45.7175 16.8533 46.7143 0.359633 0.996838 
1.75 16.467 45.9363 16.826 46.9379 0.359051 1.00161 
1.8 16.4838 46.6257 16.8432 47.6423 0.359418 1.01664 
1.85 16.5663 46.6339 16.9275 47.6507 0.361216 1.01682 
1.9 16.7155 47.4443 17.08 48.4788 0.36447 1.03449 
