Time/Tenor 1d_Hist 1d_Low 1d_High 7d_Hist 7d_Low 7d_High 21d_Hist 21d_Low 21d_High 42d_Hist 42d_Low 42d_High 63d_Hist 63d_Low 63d_High 126d_Hist 126d_Low 126d_High 252d_Hist 252d_Low 252d_High
0 0.0581094 0.0581094 0.0581094 0.0583031 0.0583031 0.0583031 0.0591828 0.0591828 0.0591828 0.0591156 0.0591156 0.0591156 0.0590531 0.0590531 0.0590531 0.0584922 0.0584922 0.0584922 0.0579141 0.0579141 0.0579141
0.00396825 0.060975 0.057151 0.059242 0.06 0.057391 0.0594572 0.0593813 0.0582448 0.0602563 0.05915 0.0581877 0.0601216 0.0590328 0.058145 0.0600056 0.05835 0.0576697 0.059334 0.057625 0.0572281 0.0585903
0.00793651 0.0557125 0.0568554 0.059636 0.0579375 0.0571447 0.0598902 0.0589375 0.0579474 0.0606134 0.05875 0.0578817 0.0604357 0.0584922 0.0578253 0.0602886 0.0575125 0.0573674 0.0595667 0.0567969 0.0569905 0.058754
0.0119048 0.0537813 0.0565742 0.0600552 0.0570625 0.0569234 0.0603557 0.0586859 0.0576671 0.0609891 0.0584969 0.0576035 0.0607685 0.0582156 0.0575715 0.0605889 0.0572305 0.0571687 0.0598419 0.0563438 0.0568369 0.05897
0.015873 0.055 0.0563876 0.0603231 0.0572875 0.0567989 0.0606831 0.0585672 0.057457 0.0612248 0.0582813 0.0573755 0.0609815 0.0580016 0.0573285 0.0607906 0.0569469 0.056936 0.0600159 0.0562063 0.0565964 0.0591653
0.0198413 0.0534344 0.0562721 0.060597 0.0575 0.0567576 0.0610267 0.058625 0.0573255 0.061468 0.05835 0.0572378 0.0611997 0.0580531 0.0571951 0.0609824 0.0569594 0.0568197 0.0601672 0.0562063 0.0565085 0.0592576
0.0238095 0.055 0.0561576 0.0609477 0.0584172 0.0567173 0.0614564 0.0588063 0.0571633 0.0617862 0.0584922 0.0570436 0.0615004 0.0582406 0.0569753 0.0612752 0.0572625 0.0566361 0.0604431 0.0564703 0.0563759 0.0594556
0.0277778 0.06 0.0562345 0.061417 0.059825 0.0566388 0.0617611 0.0589375 0.0569692 0.0619497 0.058575 0.0568533 0.0616237 0.058275 0.0567912 0.0613638 0.0573125 0.0564156 0.0605283 0.0565453 0.0562284 0.0595331
0.031746 0.0612188 0.0562796 0.06174 0.0606688 0.0566845 0.0620772 0.05995 0.0569027 0.0621373 0.0592625 0.0567918 0.0617899 0.0588375 0.0566948 0.0615282 0.057725 0.056306 0.0606259 0.0568563 0.056068 0.059664
0.0357143 0.06 0.0562718 0.06193 0.059875 0.05668 0.0622769 0.059925 0.0567843 0.0622385 0.059225 0.0566479 0.0618968 0.0587563 0.0565637 0.061616 0.057675 0.0562201 0.060746 0.0568313 0.0559924 0.0597141
0.0396825 0.0609844 0.0558426 0.0621264 0.0606063 0.0562554 0.0624696 0.06 0.0562413 0.0622851 0.0592375 0.0561198 0.0619204 0.0587438 0.056041 0.0616147 0.0576 0.0557728 0.0607568 0.0566719 0.055619 0.05979
0.0436508 0.0587625 0.0558716 0.0623149 0.0593469 0.0562872 0.0626512 0.0595984 0.0561402 0.0623318 0.0592125 0.0560357 0.061964 0.0587188 0.0559659 0.0616669 0.0577016 0.0556875 0.0608336 0.0568219 0.0555835 0.0598776
0.047619 0.0628 0.0560784 0.0627876 0.06 0.0564896 0.0631344 0.0595 0.0562018 0.0627003 0.0590703 0.0560612 0.0623686 0.0586172 0.055981 0.0620726 0.057575 0.0556958 0.0612229 0.0566578 0.0555614 0.0601511
0.0515873 0.0667313 0.0559921 0.0630428 0.0622219 0.0564092 0.0633765 0.0597359 0.0559898 0.0627991 0.0590781 0.0558929 0.0624811 0.0586188 0.0557872 0.0621208 0.0575 0.0555767 0.061159 0.0564578 0.0556202 0.0601104
0.0555556 0.0665875 0.0559911 0.0633681 0.061225 0.0564092 0.0636976 0.0596875 0.0558494 0.0629287 0.0590375 0.0557954 0.0625577 0.0586219 0.0557327 0.0621981 0.057525 0.0555363 0.0612423 0.0564656 0.0554308 0.0601981
0.0595238 0.05535 0.0561202 0.0636015 0.0579766 0.0563312 0.0637394 0.0591656 0.0558148 0.0630219 0.0588375 0.0557417 0.0626655 0.0584672 0.0556423 0.0623029 0.0574125 0.0554263 0.0613499 0.0564078 0.0553865 0.060161
0.0634921 0.0583031 0.0561695 0.0640028 0.0586188 0.0561609 0.0638921 0.0591781 0.0557227 0.0632221 0.0587438 0.0556914 0.0628598 0.0582781 0.0556166 0.0625017 0.0573234 0.0554013 0.061585 0.0563125 0.0552994 0.0604325
0.0674603 0.0667813 0.0560588 0.0643967 0.0606063 0.055816 0.0640358 0.0593438 0.0554626 0.0634305 0.0588188 0.0554484 0.0630951 0.0582906 0.0553686 0.0627187 0.0574 0.0552076 0.0617663 0.0565484 0.0552196 0.060574
0.0714286 0.055 0.0560543 0.0645287 0.05885 0.0555353 0.0639052 0.0592344 0.0552582 0.0633912 0.0587375 0.0552651 0.0630597 0.0581688 0.0551823 0.062658 0.057275 0.0550218 0.0617226 0.056325 0.0550238 0.060546
0.0753968 0.0566719 0.0560626 0.0649026 0.0592438 0.0552654 0.063997 0.0590453 0.0550999 0.0635885 0.058625 0.055148 0.0632957 0.0580781 0.0550319 0.0629014 0.0571484 0.0549185 0.0619003 0.0562 0.0549571 0.0606145
0.0793651 0.0562563 0.0559741 0.0651049 0.0593938 0.0548699 0.0639002 0.0590125 0.054806 0.0636085 0.0586 0.0548663 0.0633246 0.0580375 0.0547818 0.062897 0.0570328 0.0547075 0.0618662 0.0561563 0.0546946 0.060755
0.0833333 0.06 0.0547088 0.0637267 0.06 0.0547621 0.0636536 0.0589953 0.0548913 0.0634883 0.0584922 0.0550165 0.0632599 0.0579406 0.0549252 0.0628736 0.0567531 0.0548594 0.0619528 0.0558359 0.0549223 0.0607297
0.0873016 0.0687625 0.0546294 0.0638614 0.0639266 0.0546641 0.0637786 0.0591359 0.0547419 0.0636096 0.0584719 0.054847 0.0633713 0.0578906 0.0547826 0.0629834 0.0567203 0.0547305 0.0620827 0.0557938 0.0547414 0.0608466
